,ordertype,price,triggerprice,quantity,tradingsymbol,transactiontype,exchange,lotsize,cancelsize,averageprice,filledshares,unfilledshares,orderid,text,status,orderstatus,updatetime,exchtime,exchorderupdatetime,exchangeorderid
0,STOPLOSS_MARKET,1637.9,1637.95,400,KOTAKBANK30MAY24FUT,SELL,NFO,400,0,0,0,400,240426000525359,"RMS:Rule: Check Trigger price vs LTP for SL-M orders,Trigger Price:1637.95,LTP:1637.65  for entity account-ABUG1100 across exchange across segment across product",rejected,rejected,26-Apr-2024 12:11:44,
1,STOPLOSS_MARKET,1668.65,1668.6,400,KOTAKBANK30MAY24FUT,BUY,NFO,400,400,0,0,400,240426000525354,,cancelled,cancelled,26-Apr-2024 12:14:22,26-Apr-2024 12:11:44,26-Apr-2024 12:14:22,2400000083552771
2,LIMIT,168.6,168.65,5500,TATASTEEL30MAY24FUT,SELL,NFO,5500,0,168.65,5500,0,240426000525370,,complete,complete,26-Apr-2024 12:16:30,26-Apr-2024 12:16:30,26-Apr-2024 12:16:30,2700000081825900
3,LIMIT,3853.45,3853.5,175,TCS30MAY24FUT,SELL,NFO,175,0,3853.45,175,0,240426000525408,,complete,complete,26-Apr-2024 12:32:29,26-Apr-2024 12:31:47,26-Apr-2024 12:32:29,2700000081834636
4,LIMIT,9797.8,9797.75,100,ULTRACEMCO30MAY24FUT,BUY,NFO,100,0,9797.8,100,0,240426000525409,,complete,complete,26-Apr-2024 12:34:55,26-Apr-2024 12:34:55,26-Apr-2024 12:34:55,2300000080581159
5,LIMIT,1009,1009.05,1425,TATAMOTORS30MAY24FUT,SELL,NFO,1425,0,1009,1425,0,240426000525365,,complete,complete,26-Apr-2024 12:48:35,26-Apr-2024 12:48:35,26-Apr-2024 12:48:35,2700000081823845
6,LIMIT,1336.95,1337,800,ADANIPORTS30MAY24FUT,SELL,NFO,400,0,1336.95,800,0,240426000525300,,complete,complete,26-Apr-2024 12:50:20,26-Apr-2024 12:50:20,26-Apr-2024 12:50:20,2500000080998245
7,LIMIT,1444.45,1444.5,400,INFY30MAY24FUT,SELL,NFO,400,0,1444.45,400,0,240426000525348,,complete,complete,26-Apr-2024 13:28:18,26-Apr-2024 13:28:18,26-Apr-2024 13:28:18,2300000080563394
8,LIMIT,2865.65,2865.7,200,ASIANPAINT30MAY24FUT,SELL,NFO,200,0,2865.65,200,0,240426000525312,,complete,complete,26-Apr-2024 13:28:19,26-Apr-2024 13:28:19,26-Apr-2024 13:28:19,2500000081000469
9,STOPLOSS_MARKET,1454.1,1454.05,400,INFY30MAY24FUT,BUY,NFO,400,400,0,0,400,240426000525346,,cancelled,cancelled,26-Apr-2024 15:20:15,26-Apr-2024 12:11:44,26-Apr-2024 15:20:15,2300000080562354
10,STOPLOSS_MARKET,619.05,619.1,2700,CANBK30MAY24FUT,SELL,NFO,1350,2700,0,0,2700,240426000525324,,cancelled,cancelled,26-Apr-2024 15:20:15,26-Apr-2024 12:11:43,26-Apr-2024 15:20:15,2300000080554050
11,STOPLOSS_MARKET,2890.1,2890.05,200,ASIANPAINT30MAY24FUT,BUY,NFO,200,200,0,0,200,240426000525307,,cancelled,cancelled,26-Apr-2024 15:20:15,26-Apr-2024 12:11:42,26-Apr-2024 15:20:15,2500000080999845
12,STOPLOSS_MARKET,1148.8,1148.75,625,AXISBANK30MAY24FUT,BUY,NFO,625,625,0,0,625,240426000525314,,cancelled,cancelled,26-Apr-2024 15:20:15,26-Apr-2024 12:11:42,26-Apr-2024 15:20:15,2500000081001072
13,STOPLOSS_MARKET,1353.1,1353.05,800,ADANIPORTS30MAY24FUT,BUY,NFO,400,800,0,0,800,240426000525096,,cancelled,cancelled,26-Apr-2024 15:20:15,26-Apr-2024 12:11:32,26-Apr-2024 15:20:15,2500000080944948
14,STOPLOSS_MARKET,1015.85,1015.8,1425,TATAMOTORS30MAY24FUT,BUY,NFO,1425,1425,0,0,1425,240426000525362,,cancelled,cancelled,26-Apr-2024 15:20:15,26-Apr-2024 12:11:45,26-Apr-2024 15:20:15,2700000081822223
15,STOPLOSS_MARKET,630,629.95,2700,CANBK30MAY24FUT,BUY,NFO,1350,2700,0,0,2700,240426000525321,,cancelled,cancelled,26-Apr-2024 15:20:15,26-Apr-2024 12:11:43,26-Apr-2024 15:20:15,2300000080553058
16,STOPLOSS_MARKET,9724.9,9724.95,100,ULTRACEMCO30MAY24FUT,SELL,NFO,100,100,0,0,100,240426000525413,,cancelled,cancelled,26-Apr-2024 15:20:15,26-Apr-2024 12:11:47,26-Apr-2024 15:20:15,2300000080581892
