symbol,quantity,token
ADANIPORTS30MAY24,800,47457
ASIANPAINT30MAY24,200,48457
AUROPHARMA30MAY24,1100,50927
AXISBANK30MAY24,625,50928
BAJAJ-AUTO30MAY24,125,50929
BAJAJFINSV30MAY24,500,50930
BAJFINANCE30MAY24,125,50931
BANKNIFTY29MAY24,15,46923
BERGEPAINT30MAY24,1320,50938
BHARTIARTL30MAY24,950,50941
BIOCON30MAY24,2500,50943
BPCL30MAY24,1800,50945
CANBK30MAY24,2700,50948
CIPLA30MAY24,650,50952
COALINDIA30MAY24,2100,50953
DLF30MAY24,1650,50987
DRREDDY30MAY24,125,50988
EICHERMOT30MAY24,175,50989
GAIL30MAY24,4575,50993
HCLTECH30MAY24,700,51004
HDFCBANK30MAY24,550,51006
HEROMOTOCO30MAY24,300,51008
HINDALCO30MAY24,1400,51009
HINDPETRO30MAY24,2700,51011
HINDUNILVR30MAY24,300,51012
ICICIBANK30MAY24,700,51013
INDUSINDBK30MAY24,500,51028
INFY30MAY24,400,51030
IOC30MAY24,9750,51031
ITC30MAY24,1600,51034
JSWSTEEL30MAY24,675,51037
JUBLFOOD30MAY24,1250,51038
KOTAKBANK30MAY24,400,51039
LICHSGFIN30MAY24,2000,51044
LT30MAY24,300,51045
